,order_purchase_month,total_sales_amt,seller_count,avg_rev_per_seller,lifetime,seller_LTV
0,1,35769.54,251,142.50812749003984,7,997.5568924302788
1,2,31431.04,248,126.73806451612903,7,887.1664516129032
2,3,32172.54,293,109.80389078498294,7,768.6272354948806
3,4,37199.43,270,137.77566666666667,7,964.4296666666667
4,5,43603.76,330,132.13260606060607,7,924.9282424242424
5,6,46998.44,298,157.71288590604027,7,1103.9902013422818
6,7,36694.65,302,121.50546357615895,7,850.5382450331126
7,8,46837.82,322,145.45906832298135,7,1018.2134782608695
8,9,15539.48,118,131.69050847457626,7,921.8335593220338
9,10,17337.69,138,125.63543478260868,7,879.4480434782608
10,11,36094.42,237,152.29713080168776,7,1066.0799156118144
11,12,21738.04,159,136.71723270440253,7,957.0206289308178
